# Orbital parameters time-series from Laskar et al., 2004. Time-step = 1kyr
# eccentricity    	precession (°)   	obliquity (°)
6.291700000000000e-02	8.304049212169561e+01	2.240362381786691e+01
6.286700000000001e-02	1.011442395744442e+02	2.242058336860278e+01
6.288400000000000e-02	1.193095226943899e+02	2.245324196292524e+01
6.269300000000000e-02	1.374456422625634e+02	2.250091205148012e+01
6.249400000000000e-02	1.555010320774030e+02	2.256181746510253e+01
6.226800000000000e-02	1.735741262881121e+02	2.263441121774560e+01
6.190300000000000e-02	1.915556045473798e+02	2.271680254868542e+01
6.151700000000000e-02	2.095585687239649e+02	2.280704340141853e+01
6.105800000000000e-02	2.274271170018123e+02	2.290301383210294e+01
6.058400000000000e-02	2.452709707986896e+02	2.300270848845570e+01
5.996600000000000e-02	2.630987817773033e+02	2.310395013085531e+01
5.934500000000000e-02	2.807669094184139e+02	2.320461881545980e+01
5.865600000000000e-02	2.984719355415310e+02	2.330265189420669e+01
5.794000000000000e-02	3.160652921903771e+02	2.339598671903350e+01
5.710000000000000e-02	3.335751688884725e+02	2.348238875453923e+01
5.624300000000000e-02	3.510586322322126e+02	2.355990994422043e+01
5.537500000000000e-02	3.684715247756863e+02	2.362631575267608e+01
5.435900000000000e-02	3.858271039395531e+02	2.368000189807984e+01
5.335600000000000e-02	4.031363881135733e+02	2.371959328172338e+01
5.230100000000000e-02	4.203395605039353e+02	2.374400128379596e+01
5.115100000000000e-02	4.376612205663304e+02	2.375276753806146e+01
5.000000000000000e-02	4.547623491733795e+02	2.374577745296086e+01
4.877400000000000e-02	4.719244977856101e+02	2.372303102849417e+01
4.752000000000000e-02	4.891095074138665e+02	2.368504392667700e+01
4.623100000000000e-02	5.061910408643222e+02	2.363279017576107e+01
4.485900000000000e-02	5.233041442892896e+02	2.356718650821859e+01
4.359900000000000e-02	5.403833286127854e+02	2.348932154386031e+01
4.212300000000000e-02	5.574716802610031e+02	2.340091415607162e+01
4.075000000000000e-02	5.745219875116243e+02	2.330345403511987e+01
3.937800000000000e-02	5.915018209534442e+02	2.319911842062655e+01
3.789800000000000e-02	6.085604933878742e+02	2.309054291844925e+01
3.646000000000000e-02	6.254832029375196e+02	2.298036313444560e+01
3.501800000000000e-02	6.423244951844771e+02	2.287184492804782e+01
3.353900000000000e-02	6.592556845094904e+02	2.276848334180622e+01
3.209900000000000e-02	6.759249748263495e+02	2.267325775625547e+01
3.056400000000000e-02	6.925626951686969e+02	2.258926214348930e+01
2.915800000000000e-02	7.090901784312612e+02	2.251936129248334e+01
2.765900000000000e-02	7.254491724063713e+02	2.246544596396152e+01
2.618600000000000e-02	7.415216698838220e+02	2.242917773552974e+01
2.481200000000000e-02	7.574820968165452e+02	2.241135874810118e+01
2.335500000000000e-02	7.730397344192916e+02	2.241210359323485e+01
2.202100000000000e-02	7.884241095847902e+02	2.243118308781271e+01
2.070900000000000e-02	8.031660271746088e+02	2.246796697826010e+01
1.948600000000000e-02	8.176559006303492e+02	2.252113746164824e+01
1.831400000000000e-02	8.317496883623157e+02	2.258937673504833e+01
1.728300000000000e-02	8.448456127982824e+02	2.267090862929544e+01
1.638200000000000e-02	8.578831528349253e+02	2.276326942587053e+01
1.560000000000000e-02	8.700488229947175e+02	2.286410999781355e+01
1.499600000000000e-02	8.815700302265467e+02	2.297062285192838e+01
1.459800000000000e-02	8.929787085474121e+02	2.307937024144420e+01
1.440600000000000e-02	9.038646201760002e+02	2.318725819426734e+01
1.436300000000000e-02	9.145806498183319e+02	2.329084896362699e+01
1.460300000000000e-02	9.256114051775292e+02	2.338676209853189e+01
1.499400000000000e-02	9.367031232461283e+02	2.347213281000638e+01
1.552100000000000e-02	9.483359999522283e+02	2.354449737953141e+01
1.627800000000000e-02	9.602645801763954e+02	2.360173586326498e+01
1.712600000000000e-02	9.728517180902859e+02	2.364270234561683e+01
1.801200000000000e-02	9.858919510285659e+02	2.366659468567378e+01
1.913000000000000e-02	9.993210504224012e+02	2.367312640453828e+01
2.018700000000000e-02	1.013240257914191e+03	2.366275586844641e+01
2.137000000000000e-02	1.027598694851729e+03	2.363617062675234e+01
2.254600000000000e-02	1.042149015354856e+03	2.359451659504633e+01
2.380300000000000e-02	1.057103213807770e+03	2.353922616781620e+01
2.504200000000000e-02	1.072471660746564e+03	2.347167444377028e+01
2.628800000000000e-02	1.087766156434101e+03	2.339363759207346e+01
2.756800000000000e-02	1.103620815357843e+03	2.330717826078822e+01
2.884300000000000e-02	1.119571444712269e+03	2.321470287265410e+01
3.008400000000000e-02	1.135674652727539e+03	2.311856055463115e+01
3.136500000000000e-02	1.152063021837446e+03	2.302178798303355e+01
3.262500000000000e-02	1.168536876250386e+03	2.292742183417551e+01
3.385100000000000e-02	1.185259852712648e+03	2.283838419281218e+01
3.508500000000000e-02	1.202089112845908e+03	2.275794091837581e+01
3.634000000000000e-02	1.218944041488390e+03	2.268867032094450e+01
3.751100000000000e-02	1.236172939683753e+03	2.263292152747827e+01
3.871700000000000e-02	1.253220897807414e+03	2.259241341136252e+01
3.990700000000000e-02	1.270515227782981e+03	2.256817729662848e+01
4.108200000000000e-02	1.287871551791982e+03	2.256049966217373e+01
4.223100000000000e-02	1.305206619066783e+03	2.256920862065972e+01
4.332600000000000e-02	1.322611644488369e+03	2.259344473539375e+01
4.455400000000000e-02	1.340071616562509e+03	2.263211938656508e+01
4.555300000000000e-02	1.357500992690389e+03	2.268374288390637e+01
4.665800000000000e-02	1.374924352761420e+03	2.274642446669368e+01
4.774400000000000e-02	1.392364672383186e+03	2.281827337420309e+01
4.870100000000000e-02	1.409819258654052e+03	2.289711236681309e+01
4.974300000000000e-02	1.427214257314223e+03	2.298076420490219e+01
5.066200000000000e-02	1.444566416331413e+03	2.306687976151035e+01
5.157600000000000e-02	1.461998084290473e+03	2.315288072655949e+01
5.247300000000000e-02	1.479328338719795e+03	2.323630338153054e+01
5.325400000000000e-02	1.496658077487102e+03	2.331445482478638e+01
5.410700000000000e-02	1.513997384649587e+03	2.338527240826455e+01
5.481900000000000e-02	1.531323857557461e+03	2.344640700500501e+01
5.548600000000000e-02	1.548653481733208e+03	2.349631162896090e+01
5.623800000000000e-02	1.565943514525312e+03	2.353355388564441e+01
5.677900000000000e-02	1.583321725522087e+03	2.355710245102428e+01
5.736700000000000e-02	1.600659428402745e+03	2.356655625464394e+01
5.791400000000000e-02	1.618035061089442e+03	2.356180070494436e+01
5.839400000000000e-02	1.635447019300349e+03	2.354300768926407e+01
5.886400000000000e-02	1.652912491769322e+03	2.351103664429577e+01
5.921200000000000e-02	1.670328346093237e+03	2.346663241517313e+01
5.964300000000000e-02	1.687893570514342e+03	2.341082632592738e+01
5.991500000000000e-02	1.705442408342506e+03	2.334499347526685e+01
